 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 321 372 261 353 34
 322 373 262 438 52
 323 374 263 323 52
 324 375 263 411 56
 325 376 264 516 48
 326 377 264 537 51
 327 378 265 283 50
 328 380 266 408 53
 329 381 266 525 60
 330 382 267 280 35
 331 383 267 519 36
 332 385 269 332 57
 333 386 269 511 54
 334 388 272 353 34
 335 389 273 304 58
 336 390 274 281 54
 337 391 274 288 49
 338 392 275 280 35
 339 393 275 534 59
 340 396 277 293 32
 341 397 277 406 56
 342 398 278 526 54
 343 399 278 534 57
 344 400 279 441 38
 345 401 281 472 51
 346 402 282 291 48
 347 403 282 471 52
 348 404 283 350 54
 349 405 283 1787 57
 350 406 284 308 47
 351 407 285 286 63
 352 408 286 337 48
 353 409 286 473 32
 354 410 287 318 56
 355 411 288 352 42
 356 412 289 299 49
 357 413 289 472 51
 358 414 290 294 43
 359 415 290 336 54
 360 416 291 429 54
 361 417 293 296 32
 362 418 294 346 50
 363 419 294 524 49
 364 421 295 425 52
 365 422 295 537 50
 366 423 296 519 59
 367 424 297 298 56
 368 425 297 353 59
 369 426 298 525 56
 370 427 300 430 53
 371 428 300 658 52
 372 429 300 708 53
 373 430 303 442 55
 374 431 303 2124 55
 375 432 305 345 47
 376 433 305 460 62
 377 434 305 512 54
 378 435 306 493 52
 379 436 307 462 59
 380 437 307 508 47
 381 439 309 520 60
 382 440 310 312 57
 383 441 310 420 55
 384 443 310 477 53
 385 444 311 312 60
 386 445 311 372 39
 387 446 312 323 55
 388 448 314 381 45
 389 449 314 387 43
 390 450 315 341 42
 391 451 315 2249 53
 392 454 317 468 50
 393 455 317 514 50
 394 456 318 467 55
 395 458 320 348 51
 396 459 321 451 58
 397 461 321 467 70
 398 462 321 485 45
 399 463 321 506 55
 400 465 322 351 35
 401 466 322 389 48
 402 467 322 452 49
 403 468 322 455 63
 404 470 322 478 52
 405 471 322 490 47
 406 472 324 538 56
 407 473 325 371 35
 408 474 325 375 36
 409 475 326 364 27
 410 480 334 395 60
 411 481 335 369 40
 412 482 335 2331 45
 413 483 336 347 53
 414 484 337 377 33
 415 485 337 379 57
 416 486 338 394 52
 417 488 342 445 46
 418 489 342 624 32
 419 490 342 710 33
 420 491 343 377 33
 421 492 344 346 45
 422 493 344 381 43
 423 494 344 523 55
 424 495 345 347 55
 425 496 347 386 45
 426 497 350 526 50
 427 498 352 406 55
 428 499 353 429 52
 429 500 354 370 51
 430 502 356 360 56
 431 503 356 432 54
 432 504 357 509 48
 433 505 357 523 49
 434 507 359 375 35
 435 508 359 378 57
 436 509 359 393 60
 437 510 361 374 53
 438 512 363 477 45
 439 513 364 439 33
 440 514 365 416 51
 441 515 365 440 61
 442 516 366 484 55
 443 517 366 504 34
 444 518 366 578 45
 445 519 367 370 57
 446 520 367 445 41
 447 521 368 376 61
 448 523 371 378 56
 449 524 373 393 60
 450 525 374 395 56
 451 526 374 428 57
 452 527 379 432 57
 453 528 380 410 54
 454 529 380 1602 55
 455 532 385 389 44
 456 533 387 415 39
 457 538 394 532 57
 458 539 396 526 50
 459 544 401 434 36
 460 550 408 417 49
 461 551 409 532 32
 462 552 409 660 43
 463 553 410 525 53
 464 554 411 412 48
 465 555 411 423 53
 466 556 411 426 45
 467 557 412 413 50
 468 558 413 612 48
 469 559 413 643 52
 470 560 416 451 50
 471 561 417 447 48
 472 563 420 477 52
 473 565 424 612 41
 474 566 424 722 50
 475 567 425 438 50
 476 568 425 492 50
 477 569 425 536 63
 478 570 426 535 56
 479 572 430 613 58
 480 573 439 676 48
 481 574 441 527 54
 482 579 448 482 39
 483 580 452 504 52
 484 581 455 464 55
 485 582 455 502 58
 486 583 456 490 48
 487 584 456 494 49
 488 586 457 476 54
 489 587 457 514 37
 490 588 460 535 57
 491 589 461 508 39
 492 590 461 515 46
 493 591 462 465 55
 494 592 463 497 63
 495 593 463 514 53
 496 594 464 515 53
 497 595 465 494 58
 498 596 468 531 52
 499 599 476 507 55
 500 601 477 501 52
 501 603 478 531 53
 502 606 482 1078 32
 503 607 482 2043 48
 504 610 484 494 50
 505 611 485 489 47
 506 612 486 507 57
 507 613 489 500 46
 508 614 489 505 55
 509 615 490 491 46
 510 616 491 494 51
 511 618 493 500 45
 512 619 493 505 48
 513 621 497 506 57
 514 623 501 515 50
 515 624 503 515 45
 516 625 509 512 53
 517 626 511 524 50
 518 628 519 526 58
 519 630 536 538 60
 520 631 539 540 56
 521 632 539 559 51
 522 633 539 633 35
 523 634 539 737 50
 524 635 539 776 48
 525 636 540 544 44
 526 637 540 634 35
 527 638 540 650 52
 528 639 540 652 48
 529 640 540 653 52
 530 642 542 712 54
 531 643 542 737 60
 532 644 542 751 36
 533 645 543 560 43
 534 646 543 617 56
 535 647 543 740 53
 536 648 544 696 46
 537 649 545 546 50
 538 650 545 587 56
 539 651 545 727 46
 540 652 545 756 36
 541 653 546 575 44
 542 654 546 725 52
 543 655 546 730 30
 544 656 546 739 52
 545 657 546 755 51
 546 658 547 631 52
 547 659 547 672 53
 548 660 547 751 36
 549 661 548 573 45
 550 662 548 660 43
 551 664 549 671 57
 552 665 549 760 57
 553 667 551 746 36
 554 668 551 750 29
 555 669 551 757 48
 556 670 551 784 37
 557 671 552 553 34
 558 672 552 588 36
 559 673 552 643 34
 560 674 552 771 52
 561 675 553 658 53
 562 676 554 703 51
 563 677 554 744 56
 564 678 555 693 47
 565 679 555 785 49
 566 680 556 559 48
 567 681 556 674 46
 568 682 556 781 49
 569 683 557 558 50
 570 684 557 690 52
 571 685 557 733 49
 572 686 558 579 50
 573 687 560 617 37
 574 690 563 569 35
 575 691 563 571 35
 576 692 564 598 49
 577 693 564 655 49
 578 694 564 669 46
 579 695 565 654 40
 580 696 565 655 51
 581 697 565 664 47
 582 698 565 762 47
 583 699 566 568 35
 584 700 566 571 36
 585 701 567 700 29
 586 702 567 716 39
 587 703 568 569 54
 588 704 568 672 55
 589 705 568 712 51
 590 706 569 656 44
 591 707 569 712 44
 592 708 570 666 51
 593 709 570 733 49
 594 710 572 694 50
 595 711 572 722 50
 596 712 573 594 36
 597 713 573 613 35
 598 715 575 741 48
 599 716 576 721 46
 600 717 576 732 52
 601 718 577 581 50
 602 719 577 685 54
 603 720 578 661 46
 604 721 579 582 48
 605 723 581 755 51
 606 724 581 765 48
 607 725 582 688 46
 608 726 582 749 47
 609 727 583 607 57
 610 728 583 619 54
 611 729 584 585 52
 612 730 584 697 60
 613 731 585 778 57
 614 732 586 762 51
 615 733 586 765 47
 616 734 587 628 52
 617 735 588 595 38
 618 736 588 643 37
 619 737 589 717 29
 620 738 589 753 31
 621 739 590 755 54
 622 740 590 780 56
 623 741 591 596 56
 624 742 591 667 49
 625 743 592 593 34
 626 744 592 738 38
 627 745 593 772 51
 628 746 594 713 39
 629 747 595 771 52
 630 748 596 742 56
 631 750 598 675 50
 632 752 600 669 48
 633 753 600 727 49
 634 754 601 630 48
 635 755 601 708 51
 636 756 602 604 35
 637 757 602 615 35
 638 758 603 604 33
 639 759 603 706 40
 640 760 605 615 34
 641 761 605 626 35
 642 762 606 670 50
 643 763 606 926 53
 644 764 607 670 55
 645 766 609 677 37
 646 767 609 680 35
 647 768 610 668 46
 648 769 610 694 44
 649 770 611 683 45
 650 771 611 750 43
 651 772 612 613 49
 652 773 612 769 45
 653 774 613 627 36
 654 775 614 626 30
 655 776 614 707 30
 656 777 615 665 30
 657 778 615 774 47
 658 779 616 618 54
 659 780 616 619 53
 660 781 617 620 61
 661 782 618 620 56
 662 783 619 756 53
 663 784 621 622 32
 664 785 621 746 29
 665 786 622 624 31
 666 787 623 663 52
 667 788 623 712 53
 668 789 625 690 48
 669 790 625 1348 40
 670 791 627 691 40
 671 792 628 699 53
 672 793 628 727 60
 673 794 629 667 53
 674 795 629 763 50
 675 796 630 645 50
 676 797 631 645 57
 677 798 632 634 32
 678 799 632 649 46
 679 800 633 634 38
 680 801 633 645 48
 681 802 635 637 52
 682 803 635 732 50
 683 804 635 742 56
 684 805 636 740 53
 685 806 636 744 53
 686 807 637 743 56
 687 808 638 639 36
 688 809 638 650 53
 689 810 639 650 50
 690 811 639 653 48
 691 812 640 644 50
 692 813 640 653 53
 693 814 641 644 33
 694 815 641 645 40
 695 816 641 647 51
 696 817 642 678 41
 697 818 642 785 44
 698 819 644 645 54
 699 820 644 650 50
 700 821 644 686 53
 701 822 644 734 56
 702 823 645 650 48
 703 824 646 770 43
 704 825 646 773 50
 705 826 647 649 46
 706 827 648 651 48
 707 828 648 652 51
 708 829 651 776 49
 709 830 654 655 49
 710 831 655 701 50
 711 832 656 773 41
 712 833 657 1444 50
 713 834 657 1486 54
 714 835 659 703 33
 715 836 659 703 48
 716 837 661 769 44
 717 838 662 663 58
 718 839 662 760 49
 719 840 662 782 45
 720 841 663 778 53
 721 842 663 780 53
 722 843 664 689 61
 723 844 665 676 32
 724 845 665 706 40
 725 846 666 707 53
 726 847 667 703 52
 727 848 668 696 47
 728 849 670 1469 50
 729 850 671 754 55
 730 852 674 695 47
 731 853 675 758 49
 732 854 677 679 51
 733 855 678 679 45
 734 856 678 684 29
 735 857 678 731 39
 736 858 678 750 46
 737 859 679 683 42
 738 860 679 684 30
 739 861 679 685 53
 740 862 680 688 50
 741 863 680 701 50
 742 865 686 770 53
 743 866 687 745 39
 744 867 687 747 35
 745 868 688 689 57
 746 869 688 1359 45
 747 870 689 749 45
 748 871 689 1402 46
 749 872 691 692 40
 750 873 692 718 42
 751 874 693 694 47
 752 875 695 696 46
 753 876 697 766 56
 754 877 698 702 34
 755 878 698 704 35
 756 879 699 703 53
 757 880 700 710 32
 758 881 702 703 34
 759 882 703 704 33
 760 883 705 709 41
 761 884 705 728 50
 762 885 706 707 33
 763 886 707 772 49
 764 887 709 716 49
 765 888 709 720 45
 766 889 711 714 58
 767 890 711 727 54
 768 891 711 729 51
 769 892 713 720 48
 770 893 714 724 54
 771 894 715 739 54
 772 895 715 1190 55
 773 896 716 717 47
 774 897 716 750 32
 775 898 716 785 31
 776 899 717 719 48
 777 900 717 728 43
 778 901 717 736 41
 779 902 718 719 50
 780 903 721 755 50
 781 904 723 726 48
 782 905 723 748 53
 783 906 724 730 57
 784 907 725 748 52
 785 908 726 727 49
 786 909 726 729 52
 787 910 726 743 52
 788 911 731 754 47
 789 912 734 735 60
 790 913 735 737 59
 791 914 736 777 37
 792 915 738 1430 28
 793 916 740 752 43
 794 917 740 779 35
 795 918 741 752 45
 796 919 744 768 53
 797 920 745 784 38
 798 921 747 777 38
 799 922 750 753 52
 800 923 754 759 47
 801 924 755 781 49
 802 925 757 774 46
 803 926 758 759 35
 804 927 763 764 52
 805 929 764 778 54
 806 930 766 778 58
 807 931 768 779 51
 808 932 770 771 51
 809 933 775 1133 31
 810 934 775 1414 29
 811 935 778 783 36
 812 936 782 783 36
 813 943 792 1240 56
 814 944 792 1525 50
 815 946 794 1334 41
 816 947 794 1385 37
 817 948 795 1108 36
 818 949 795 1520 38
 819 950 796 797 37
 820 952 796 1011 33
 821 953 796 1103 39
 822 954 796 1419 41
 823 958 797 1004 35
 824 959 797 1379 32
 825 961 798 799 48
 826 963 798 1163 33
 827 965 799 996 51
 828 970 802 1087 35
 829 971 802 1586 35
 830 973 804 1345 33
 831 974 804 1426 32
 832 977 807 1328 49
 833 978 807 1479 49
 834 979 808 971 40
 835 980 808 1227 38
 836 981 809 904 34
 837 982 809 1216 35
 838 985 812 860 50
 839 986 812 918 51
 840 987 813 877 49
 841 988 813 1054 47
 842 989 814 1462 34
 843 990 814 1488 34
 844 991 815 928 35
 845 992 815 1156 35
 846 993 815 1315 45
 847 995 817 1079 47
 848 996 817 1477 48
 849 998 819 954 34
 850 999 819 993 35
 851 1000 820 838 55
 852 1001 820 1393 54
 853 1002 821 822 54
 854 1004 821 920 51
 855 1005 821 1076 34
 856 1006 821 1199 46
 857 1009 822 919 33
 858 1010 822 924 52
 859 1011 822 1355 53
 860 1015 825 1232 42
 861 1016 825 1566 55
 862 1017 826 1003 58
 863 1018 826 1566 53
 864 1019 827 911 41
 865 1020 827 1337 43
 866 1022 829 1268 51
 867 1023 829 1489 39
 868 1024 830 883 52
 869 1025 830 1334 33
 870 1028 833 1230 56
 871 1029 833 1553 52
 872 1030 834 886 32
 873 1031 834 991 49
 874 1032 834 1175 52
 875 1033 834 1178 52
 876 1034 834 1467 36
 877 1035 835 1020 40
 878 1036 835 1106 47
 879 1037 836 890 36
 880 1038 836 1105 33
 881 1040 837 1097 36
 882 1041 837 1552 43
 883 1042 838 966 52
 884 1045 840 887 41
 885 1046 840 1562 42
 886 1053 849 1320 31
 887 1054 849 1426 36
 888 1055 850 1087 32
 889 1056 850 1594 35
 890 1057 851 1066 41
 891 1058 851 1328 35
 892 1059 851 1538 52
 893 1060 852 1560 34
 894 1061 852 1589 34
 895 1064 855 997 36
 896 1065 855 1573 40
 897 1068 857 1169 33
 898 1069 857 1293 32
 899 1071 858 1162 49
 900 1073 858 1205 54
 901 1074 858 1372 52
 902 1076 859 1113 49
 903 1078 859 1358 52
 904 1079 859 1362 33
 905 1080 860 1556 52
 906 1081 861 1107 52
 907 1082 861 1585 41
 908 1083 862 947 49
 909 1084 862 1561 45
 910 1087 865 1432 49
 911 1088 865 1575 39
 912 1089 866 1196 48
 913 1090 866 1531 46
 914 1093 869 888 49
 915 1094 869 914 44
 916 1095 870 1214 52
 917 1096 870 1411 41
 918 1097 870 1418 51
 919 1098 871 896 33
 920 1099 871 1418 54
 921 1100 872 1020 39
 922 1101 872 1384 47
 923 1103 874 1098 35
 924 1104 874 1552 42
 925 1106 876 1323 52
 926 1107 876 1389 56
 927 1108 877 1050 38
 928 1109 878 879 42
 929 1110 878 1320 32
 930 1111 878 1543 47
 931 1112 879 1325 52
 932 1113 879 1426 36
 933 1114 882 1470 59
 934 1115 882 1503 54
 935 1116 883 1490 55
 936 1118 885 890 35
 937 1119 885 1476 41
 938 1120 886 1294 38
 939 1121 887 1178 33
 940 1122 888 996 49
 941 1123 889 1076 34
 942 1124 889 1207 34
 943 1125 891 1057 35
 944 1126 891 1459 33
 945 1127 892 893 41
 946 1129 892 1206 39
 947 1130 892 1448 41
 948 1131 893 1312 33
 949 1132 893 1449 42
 950 1133 894 1077 50
 951 1134 894 1514 51
 952 1135 895 986 40
 953 1136 895 1424 47
 954 1137 896 1083 31
 955 1139 898 1289 46
 956 1140 898 2089 35
 957 1142 900 1230 48
 958 1143 900 1482 52
 959 1144 901 961 37
 960 1145 901 1561 55
 961 1147 903 916 51
 962 1148 903 1184 55
 963 1149 904 1201 36
 964 1150 905 906 51
 965 1151 905 1372 52
 966 1152 905 1569 33
 967 1153 906 1095 52
 968 1154 906 1570 45
 969 1158 909 1058 50
 970 1159 909 1245 54
 971 1160 910 1156 35
 972 1161 910 1251 35
 973 1162 911 979 54
 974 1163 911 1478 52
 975 1164 912 965 50
 976 1165 912 1025 33
 977 1166 912 1293 57
 978 1167 912 1294 53
 979 1168 912 1420 33
 980 1169 912 1572 55
 981 1170 913 1454 34
 982 1171 913 1577 31
 983 1172 914 1279 34
 984 1175 915 1095 49
 985 1176 915 1236 54
 986 1179 916 1095 52
 987 1180 917 1413 29
 988 1181 917 1426 27
 989 1182 918 1503 51
 990 1183 919 974 49
 991 1184 919 1049 53
 992 1185 919 1077 53
 993 1186 920 1102 32
 994 1187 920 1343 43
 995 1188 920 1575 37
 996 1189 921 1207 34
 997 1190 921 1344 48
 998 1191 921 1513 55
 999 1193 924 1071 50
 1000 1195 926 1190 51
 1001 1197 928 1220 35
 1002 1198 929 1139 45
 1003 1199 929 1240 49
 1004 1200 929 1410 48
 1005 1206 936 1235 51
 1006 1207 936 1565 50
 1007 1209 938 1095 33
 1008 1210 938 1531 33
 1009 1211 939 1416 52
 1010 1212 939 1513 55
 1011 1217 943 1274 36
 1012 1218 943 1539 34
 1013 1221 947 1229 50
 1014 1222 948 1199 41
 1015 1223 948 1256 52
 1016 1224 949 1087 51
 1017 1225 949 1422 55
 1018 1229 953 1075 42
 1019 1230 953 1184 41
 1020 1231 954 968 35
 1021 1239 961 1282 34
 1022 1240 962 978 55
 1023 1241 962 1581 45
 1024 1242 963 1331 35
 1025 1243 963 1460 52
 1026 1244 964 1338 49
 1027 1245 964 1345 37
 1028 1246 965 973 32
 1029 1247 966 967 50
 1030 1248 966 1149 34
 1031 1249 966 1215 50
 1032 1251 967 982 53
 1033 1252 967 1268 52
 1034 1254 967 1502 50
 1035 1255 968 979 36
 1036 1256 968 1025 49
 1037 1260 971 1382 41
 1038 1261 972 1235 51
 1039 1262 972 1384 51
 1040 1263 973 979 34
 1041 1266 974 1431 46
 1042 1267 975 1354 38
 1043 1268 975 1366 39
 1044 1271 978 998 32
 1045 1272 978 1024 35
 1046 1273 978 1293 54
 1047 1274 978 1318 39
 1048 1275 978 1478 53
 1049 1276 979 1319 41
 1050 1277 979 1501 57
 1051 1279 981 1292 47
 1052 1280 981 1402 37
 1053 1281 982 1470 55
 1054 1284 985 1058 52
 1055 1285 985 1306 52
 1056 1286 986 1307 40
 1057 1292 991 1501 52
 1058 1293 992 1183 39
 1059 1294 992 1459 39
 1060 1295 993 994 35
 1061 1296 994 1289 35
 1062 1297 994 1407 35
 1063 1298 995 1017 46
 1064 1299 995 1112 51
 1065 1300 995 1145 45
 1066 1301 995 1378 34
 1067 1302 995 1539 49
 1068 1303 996 1401 34
 1069 1304 997 1111 41
 1070 1305 997 1127 37
 1071 1306 997 1222 35
 1072 1307 998 1572 31
 1073 1308 999 1241 51
 1074 1309 999 1311 54
 1075 1313 1003 1491 54
 1076 1314 1004 1008 35
 1077 1319 1008 1552 35
 1078 1321 1011 1552 39
 1079 1322 1012 1193 47
 1080 1323 1012 1553 53
 1081 1327 1017 1191 47
 1082 1328 1018 1192 31
 1083 1329 1018 1401 34
 1084 1332 1020 1522 35
 1085 1337 1024 1025 35
 1086 1338 1024 1308 34
 1087 1341 1026 1153 34
 1088 1342 1026 1583 48
 1089 1346 1030 1031 35
 1090 1347 1030 1524 35
 1091 1348 1031 1216 35
 1092 1356 1039 1040 34
 1093 1357 1039 1216 35
 1094 1358 1040 1524 34
 1095 1361 1043 1142 38
 1096 1362 1043 1217 36
 1097 1363 1044 1217 54
 1098 1364 1044 1523 51
 1099 1365 1045 1306 51
 1100 1366 1045 1536 52
 1101 1370 1049 1450 52
 1102 1371 1050 1147 32
 1103 1372 1051 1071 47
 1104 1373 1051 1440 49
 1105 1374 1052 1436 47
 1106 1375 1052 1439 47
 1107 1376 1053 1083 31
 1108 1377 1053 1223 39
 1109 1378 1053 1243 35
 1110 1379 1053 1266 45
 1111 1380 1054 1161 35
 1112 1381 1054 1436 46
 1113 1382 1054 1450 36
 1114 1383 1055 1079 40
 1115 1384 1055 1489 41
 1116 1386 1057 1083 45
 1117 1387 1059 1237 34
 1118 1388 1059 1331 35
 1119 1393 1065 1284 44
 1120 1394 1065 1549 49
 1121 1395 1066 1425 34
 1122 1396 1066 1589 34
 1123 1399 1069 1390 36
 1124 1400 1069 1546 35
 1125 1401 1070 1326 35
 1126 1402 1070 1356 35
 1127 1403 1074 1133 29
 1128 1404 1074 1552 34
 1129 1405 1075 1335 49
 1130 1406 1078 1120 40
 1131 1408 1081 1184 51
 1132 1409 1081 1385 47
 1133 1410 1082 1099 34
 1134 1411 1082 1119 34
 1135 1412 1082 1266 39
 1136 1413 1084 1138 33
 1137 1414 1084 1343 34
 1138 1416 1086 1244 50
 1139 1417 1086 1328 36
 1140 1418 1087 1557 34
 1141 1419 1088 1182 53
 1142 1420 1088 1219 35
 1143 1421 1088 1593 39
 1144 1422 1089 1431 53
 1145 1423 1089 1574 43
 1146 1430 1094 1491 52
 1147 1431 1094 1545 49
 1148 1432 1095 1511 48
 1149 1433 1095 1532 48
 1150 1434 1096 1220 35
 1151 1435 1096 1403 34
 1152 1436 1096 1492 34
 1153 1437 1096 1495 36
 1154 1439 1097 1098 38
 1155 1440 1097 1120 31
 1156 1442 1098 1419 39
 1157 1444 1099 1237 34
 1158 1446 1101 1232 50
 1159 1447 1101 1374 55
 1160 1448 1102 1585 33
 1161 1449 1103 1571 34
 1162 1450 1104 1190 46
 1163 1451 1104 1359 43
 1164 1452 1105 1167 33
 1165 1453 1106 1166 56
 1166 1454 1106 1170 54
 1167 1455 1107 1108 54
 1168 1456 1107 1343 35
 1169 1457 1108 1451 50
 1170 1460 1111 1535 42
 1171 1461 1112 1275 53
 1172 1462 1113 1511 52
 1173 1463 1114 1267 47
 1174 1464 1114 1354 35
 1175 1466 1114 1483 42
 1176 1467 1115 1181 51
 1177 1468 1115 1484 44
 1178 1469 1115 1500 43
 1179 1473 1119 1271 34
