Each row corresponds to a contingency
LODF matrix: nbrc * nbrc
38*38,branch_1,branch_2,branch_3,branch_4,branch_5,branch_6,branch_7,branch_8,branch_9,branch_10,branch_11,branch_12,branch_13,branch_14,branch_15,branch_16,branch_17,branch_18,branch_19,branch_20,branch_21,branch_22,branch_23,branch_24,branch_25,branch_26,branch_27,branch_28,branch_29,branch_30,branch_31,branch_32,branch_33,branch_34,branch_35,branch_36,branch_37,branch_38,
Ctgcy-branch_11,0.262605,-0.017424,0.129758,0.086846,0.076593,0.092684,-0.350140,-0.070701,0.041778,-0.060270,-1.000000,-0.490196,-0.445633,-0.218838,-0.087535,-0.306373,-0.175070,0.000000,-0.350140,-0.229779,-0.189509,-0.084517,-0.186939,0.432526,-0.075030,-0.075030,0.212104,-0.141403,0.479540,-0.262605,0.000000,-0.141403,-0.141403,0.275735,0.275735,-0.167112,-0.167112,0.108131,
Ctgcy-branch_12,0.053609,0.089248,-0.142856,0.154259,-0.100651,0.147506,-0.058258,0.154259,-0.142856,-0.100651,-0.000000,-1.000000,1.000000,-0.347468,-0.350767,0.379896,0.376597,0.003656,0.028772,0.009429,0.016401,0.013084,0.028772,-0.047357,-0.005450,-0.005450,0.058258,0.010901,-0.029485,0.009429,0.001472,0.004715,0.004715,-0.014743,-0.014743,-0.014743,-0.014743,-0.001472,
Ctgcy-branch_13,-0.053609,-0.089248,0.142856,-0.154259,0.100651,-0.147506,0.058258,-0.154259,0.142856,0.100651,-0.000000,1.000000,-1.000000,0.347468,0.350767,-0.379896,-0.376597,-0.003656,-0.028772,-0.009429,-0.016401,-0.013084,-0.028772,0.047357,0.005450,0.005450,-0.058258,-0.010901,0.029485,-0.009429,-0.001472,-0.004715,-0.004715,0.014743,0.014743,0.014743,0.014743,0.001472,
Ctgcy-branch_14,-0.065907,-0.026344,0.092251,-0.132634,0.066728,-0.218509,0.192165,-0.132634,0.092251,0.066728,-0.000000,-0.144002,0.144002,-1.000000,0.504855,0.363849,-0.060868,-0.405543,-0.230609,0.337711,0.106276,-0.067832,-0.230609,0.156208,0.017978,0.017978,-0.192165,-0.035956,-0.038444,-0.031102,-0.004854,-0.015551,-0.015551,-0.019222,-0.019222,-0.019222,-0.019222,0.004854,
Ctgcy-branch_15,-0.062635,-0.036500,0.099135,-0.133889,0.071254,-0.202552,0.166052,-0.133889,0.099135,0.071254,-0.000000,-0.148350,0.148350,0.515208,-1.000000,-0.067597,0.386337,0.391135,0.056475,-0.403250,-0.210413,-0.012115,0.056475,0.134982,0.015535,0.015535,-0.166052,-0.031070,0.222527,-0.026876,-0.004194,-0.013438,-0.013438,0.111264,0.111264,0.111264,0.111264,0.004194,
Ctgcy-branch_16,0.022566,0.125593,-0.148160,0.125126,-0.102559,0.022856,0.102738,0.125126,-0.148160,-0.102559,-0.000000,0.166217,-0.166217,0.384129,-0.069931,-1.000000,0.583064,-0.421864,-0.194006,0.372742,0.140391,-0.049123,-0.194006,0.083514,0.009612,0.009612,-0.102738,-0.019223,-0.091269,-0.016628,-0.002595,-0.008314,-0.008314,-0.045634,-0.045634,-0.045634,-0.045634,0.002595,
Ctgcy-branch_17,0.027622,0.116799,-0.144421,0.127905,-0.100283,0.044438,0.072361,0.127905,-0.144421,-0.100283,-0.000000,0.166417,-0.166417,-0.064901,0.403661,0.588879,-1.000000,0.415020,0.108957,-0.404964,-0.191375,0.010056,0.108957,0.058822,0.006770,0.006770,-0.072361,-0.013540,0.181318,-0.011712,-0.001828,-0.005856,-0.005856,0.090659,0.090659,0.090659,0.090659,0.001828,
Ctgcy-branch_18,-0.004125,0.008579,-0.004454,-0.001307,-0.002818,-0.018235,0.026814,-0.001307,-0.004454,-0.002818,-0.000000,0.001245,-0.001245,-0.333240,0.314942,-0.328350,0.319833,-1.000000,0.338410,0.640402,-0.005626,-0.359598,0.338410,0.021797,0.002509,0.002509,-0.026814,-0.005017,0.365225,-0.004340,-0.000677,-0.002170,-0.002170,0.182612,0.182612,0.182612,0.182612,0.000677,
Ctgcy-branch_19,-0.047823,0.099463,-0.051640,-0.015158,-0.032665,-0.211410,0.310874,-0.015158,-0.051640,-0.032665,-0.000000,0.014432,-0.014432,-0.279117,0.066981,-0.222418,0.123680,0.498465,-1.000000,-0.107208,0.297870,0.391257,-1.000000,0.252706,0.029084,0.029084,-0.310874,-0.058168,-0.689126,-0.050315,-0.007853,-0.025158,-0.025158,-0.344563,-0.344563,-0.344563,-0.344563,0.007853,
Ctgcy-branch_20,-0.009847,0.020480,-0.010633,-0.003121,-0.006726,-0.043531,0.064012,-0.003121,-0.010633,-0.006726,-0.000000,0.002972,-0.002972,0.256834,-0.300515,0.268509,-0.288840,0.592706,-0.067363,-1.000000,0.410646,-0.407294,-0.067363,0.052034,0.005989,0.005989,-0.064012,-0.011977,-0.003352,-0.010360,-0.001617,-0.005180,-0.005180,-0.001676,-0.001676,-0.001676,-0.001676,0.001617,
Ctgcy-branch_21,-0.024333,0.050608,-0.026275,-0.007713,-0.016620,-0.107567,0.158175,-0.007713,-0.026275,-0.016620,-0.000000,0.007343,-0.007343,0.114815,-0.222752,0.143664,-0.193903,-0.007397,0.265877,0.583345,-1.000000,0.575948,0.265877,0.128579,0.014798,0.014798,-0.158175,-0.029596,0.424052,-0.025601,-0.003996,-0.012800,-0.012800,0.212026,0.212026,0.212026,0.212026,0.003996,
Ctgcy-branch_22,-0.018463,0.038401,-0.019937,-0.005852,-0.012611,-0.081621,0.120021,-0.005852,-0.019937,-0.012611,-0.000000,0.005572,-0.005572,-0.069702,-0.012199,-0.047812,0.009691,-0.449685,0.332171,-0.550315,0.547808,-1.000000,0.332171,0.097564,0.011229,0.011229,-0.120021,-0.022457,0.452192,-0.019426,-0.003032,-0.009713,-0.009713,0.226096,0.226096,0.226096,0.226096,0.003032,
Ctgcy-branch_23,-0.047823,0.099463,-0.051640,-0.015158,-0.032665,-0.211410,0.310874,-0.015158,-0.051640,-0.032665,-0.000000,0.014432,-0.014432,-0.279117,0.066981,-0.222418,0.123680,0.498465,-1.000000,-0.107208,0.297870,0.391257,-1.000000,0.252706,0.029084,0.029084,-0.310874,-0.058168,-0.689126,-0.050315,-0.007853,-0.025158,-0.025158,-0.344563,-0.344563,-0.344563,-0.344563,0.007853,
Ctgcy-branch_24,0.030566,-0.063572,0.033006,0.009688,0.020878,0.135122,-0.198694,0.009688,0.033006,0.020878,0.000000,-0.009224,0.009224,0.073419,0.062167,0.037180,0.025928,0.012468,0.098131,0.032158,0.055938,0.044625,0.098131,-1.000000,0.400653,0.400653,0.198694,-0.801306,-0.100563,-0.693129,-0.108176,-0.346565,-0.346565,-0.050282,-0.050282,-0.050282,-0.050282,0.108176,
Ctgcy-branch_25,0.003557,-0.007397,0.003840,0.001127,0.002429,0.015722,-0.023120,0.001127,0.003840,0.002429,-0.000000,-0.001073,0.001073,0.008543,0.007234,0.004326,0.003017,0.001451,0.011418,0.003742,0.006509,0.005192,0.011418,0.405063,-1.000000,0.571817,0.023120,0.428183,-0.011701,0.370378,0.057805,0.185189,0.185189,-0.005851,-0.005851,-0.005851,-0.005851,-0.057805,
Ctgcy-branch_26,0.003557,-0.007397,0.003840,0.001127,0.002429,0.015722,-0.023120,0.001127,0.003840,0.002429,-0.000000,-0.001073,0.001073,0.008543,0.007234,0.004326,0.003017,0.001451,0.011418,0.003742,0.006509,0.005192,0.011418,0.405063,0.571817,-1.000000,0.023120,0.428183,-0.011701,0.370378,0.057805,0.185189,0.185189,-0.005851,-0.005851,-0.005851,-0.005851,-0.057805,
Ctgcy-branch_27,-0.153835,0.319948,-0.166113,-0.048760,-0.105075,-0.680052,1.000000,-0.048760,-0.166113,-0.105075,0.000000,0.046426,-0.046426,-0.369507,-0.312879,-0.187121,-0.130493,-0.062747,-0.493880,-0.161845,-0.281527,-0.224593,-0.493880,0.812889,0.093556,0.093556,-1.000000,-0.187111,0.506120,-0.161851,-0.025260,-0.080926,-0.080926,0.253060,0.253060,0.253060,0.253060,0.025260,
Ctgcy-branch_28,-0.008306,0.017275,-0.008969,-0.002633,-0.005673,-0.036719,0.053995,-0.002633,-0.008969,-0.005673,-0.000000,0.002507,-0.002507,-0.019951,-0.016894,-0.010103,-0.007046,-0.003388,-0.026667,-0.008739,-0.015201,-0.012127,-0.026667,-0.946005,0.500000,0.500000,-0.053995,-1.000000,0.027328,-0.865000,-0.135000,-0.432500,-0.432500,0.013664,0.013664,0.013664,0.013664,0.135000,
Ctgcy-branch_29,0.048634,-0.101149,0.052515,0.015415,0.033219,0.214993,-0.316142,0.015415,0.052515,0.033219,0.000000,-0.014677,0.014677,-0.046175,0.261906,-0.103835,0.204246,0.533848,-0.683858,-0.005293,0.471445,0.528555,-0.683858,-0.256988,-0.029577,-0.029577,0.316142,0.059154,-1.000000,0.051168,0.007986,0.025584,0.025584,-0.500000,-0.500000,-0.500000,-0.500000,-0.007986,
Ctgcy-branch_30,-0.005998,0.012474,-0.006477,-0.001901,-0.004097,-0.026515,0.038989,-0.001901,-0.006477,-0.004097,-0.000000,0.001810,-0.001810,-0.014407,-0.012199,-0.007296,-0.005088,-0.002446,-0.019256,-0.006310,-0.010976,-0.008757,-0.019256,-0.683102,0.361045,0.361045,-0.038989,-0.722091,0.019733,-1.000000,0.277909,-0.500000,-0.500000,0.009867,0.009867,0.009867,0.009867,-0.277909,
Ctgcy-branch_31,-0.002396,0.004984,-0.002588,-0.000760,-0.001637,-0.010594,0.015578,-0.000760,-0.002588,-0.001637,-0.000000,0.000723,-0.000723,-0.005756,-0.004874,-0.002915,-0.002033,-0.000977,-0.007694,-0.002521,-0.004386,-0.003499,-0.007694,-0.272938,0.144258,0.144258,-0.015578,-0.288517,0.007885,0.711483,-1.000000,0.355742,0.355742,0.003942,0.003942,0.003942,0.003942,1.000000,
Ctgcy-branch_32,-0.001771,0.003682,-0.001912,-0.000561,-0.001209,-0.007827,0.011509,-0.000561,-0.001912,-0.001209,-0.000000,0.000534,-0.000534,-0.004253,-0.003601,-0.002154,-0.001502,-0.000722,-0.005684,-0.001863,-0.003240,-0.002585,-0.005684,-0.201646,0.106578,0.106578,-0.011509,-0.213155,0.005825,-0.295192,0.082037,-1.000000,0.704808,0.002913,0.002913,0.002913,0.002913,-0.082037,
Ctgcy-branch_33,-0.001771,0.003682,-0.001912,-0.000561,-0.001209,-0.007827,0.011509,-0.000561,-0.001912,-0.001209,-0.000000,0.000534,-0.000534,-0.004253,-0.003601,-0.002154,-0.001502,-0.000722,-0.005684,-0.001863,-0.003240,-0.002585,-0.005684,-0.201646,0.106578,0.106578,-0.011509,-0.213155,0.005825,-0.295192,0.082037,0.704808,-1.000000,0.002913,0.002913,0.002913,0.002913,-0.082037,
Ctgcy-branch_34,0.009062,-0.018847,0.009785,0.002872,0.006189,0.040059,-0.058905,0.002872,0.009785,0.006189,0.000000,-0.002735,0.002735,-0.008604,0.048800,-0.019347,0.038056,0.099469,-0.127420,-0.000986,0.087842,0.098483,-0.127420,-0.047883,-0.005511,-0.005511,0.058905,0.011022,-0.186325,0.009534,0.001488,0.004767,0.004767,-1.000000,0.813675,-0.093163,-0.093163,-0.001488,
Ctgcy-branch_35,0.009062,-0.018847,0.009785,0.002872,0.006189,0.040059,-0.058905,0.002872,0.009785,0.006189,0.000000,-0.002735,0.002735,-0.008604,0.048800,-0.019347,0.038056,0.099469,-0.127420,-0.000986,0.087842,0.098483,-0.127420,-0.047883,-0.005511,-0.005511,0.058905,0.011022,-0.186325,0.009534,0.001488,0.004767,0.004767,0.813675,-1.000000,-0.093163,-0.093163,-0.001488,
Ctgcy-branch_36,0.005202,-0.010819,0.005617,0.001649,0.003553,0.022996,-0.033816,0.001649,0.005617,0.003553,0.000000,-0.001570,0.001570,-0.004939,0.028014,-0.011106,0.021847,0.057102,-0.073147,-0.000566,0.050427,0.056536,-0.073147,-0.027488,-0.003164,-0.003164,0.033816,0.006327,-0.106963,0.005473,0.000854,0.002737,0.002737,-0.053481,-0.053481,-1.000000,0.893037,-0.000854,
Ctgcy-branch_37,0.005202,-0.010819,0.005617,0.001649,0.003553,0.022996,-0.033816,0.001649,0.005617,0.003553,0.000000,-0.001570,0.001570,-0.004939,0.028014,-0.011106,0.021847,0.057102,-0.073147,-0.000566,0.050427,0.056536,-0.073147,-0.027488,-0.003164,-0.003164,0.033816,0.006327,-0.106963,0.005473,0.000854,0.002737,0.002737,-0.053481,-0.053481,0.893037,-1.000000,-0.000854,
Ctgcy-branch_38,0.002396,-0.004984,0.002588,0.000760,0.001637,0.010594,-0.015578,0.000760,0.002588,0.001637,0.000000,-0.000723,0.000723,0.005756,0.004874,0.002915,0.002033,0.000977,0.007694,0.002521,0.004386,0.003499,0.007694,0.272938,-0.144258,-0.144258,0.015578,0.288517,-0.007885,-0.711483,1.000000,-0.355742,-0.355742,-0.003942,-0.003942,-0.003942,-0.003942,-1.000000,
