genIdx	segmentIdx  	segmentBreadth	segmentPrice
269	1	84.645	11.102
270	1	26.125	8.775
271	1	12.54	9.854
272	1	19	14.3
273	1	8	6.5
274	1	8	7.8
275	1	12	7.8
276	1	8	9.1
277	1	8	10.4
278	1	19.8	11.7
279	1	12	5.915
280	1	12	7.865
281	1	8	7.176
282	1	12	2.002
283	1	121	2.145
284	1	12	1.885
285	1	12	2.314
286	1	55	2.028
287	1	44	7.202
288	1	19	4.42
289	1	12	8.32
290	1	13.2	6.63
291	1	17	5.356
292	1	99	5.655
293	1	55	7.696
294	1	12	12.87
295	1	12	13
296	1	28.215	6.695
297	1	28.6	8.645
298	1	12	11.557
299	1	12	13
300	1	12	19.5
301	1	53.9	26
302	1	12	23.4
303	1	12	7.8
304	1	18.15	19.5
305	1	12	5.408
306	1	12	17.42
307	1	12	17.81
308	1	12	4.94
309	1	12	2.34
310	1	12	3.38
311	1	8	6.11
312	1	12	4.42
313	1	12	6.76
314	1	14.85	5.98
315	1	8	9.62
316	1	8	11.115
317	1	12	12.545
318	1	12	12.545
319	1	8	10.725
320	1	60.5	21.32
321	1	18.7	20.54
322	1	56.1	17.55
323	1	40.7	3.835
324	1	12	7.8
325	1	12	5.85
326	1	74	2.548
327	1	74	3
