genIdx	segmentIdx  	segmentBreadth	segmentPrice
208	1	94.5	18.85
209	1	12	7.696
210	1	12	8.684
211	1	12	32.019
212	1	52.5	37.0136
213	1	12	6.6638
214	1	12	3.9884
215	1	27	36.985
216	1	12	42.5152
217	1	115.5	31.675
218	1	12	21.45
219	1	12	23.114
220	1	12	6.864
221	1	12	6.656
222	1	12	3.718
223	1	12	15.496
224	1	12	6.708
225	1	12	3.77
226	1	12	7.41
227	1	12	19.552
228	1	12	22.906
229	1	57.75	19.6716
230	1	78	19.9862
231	1	52.5	27.3308
232	1	52.5	29.819
233	1	12	36.998
234	1	12	30.628
235	1	12	31.07
236	1	12	31.2
237	1	12	28.6
238	1	12	20.8
239	1	12	23.4
240	1	12	20.8
241	1	12	18.2
242	1	12	15.6
243	1	12	7.8
244	1	205.4546	24.2628
245	1	203.3283	14.0088
246	1	12	13
247	1	12	10.4
248	1	17.85	13
249	1	12	15.6
250	1	63	17.29
251	1	12	13.988
252	1	12	16.77
253	1	12	8.97
254	1	12	5.876
255	1	8	3.952
256	1	8	14.092
257	1	8	2.6
258	1	12	3.12
259	1	12	3.9
260	1	12	4.55
261	1	12	39.78
262	1	12	19.656
263	1	12	11.57
264	1	22.05	11.076
265	1	8	11.05
266	1	8	3.302
267	1	210	11.648
268	1	83.4	25.09
269	1	81	22.204
270	1	25	17.55
271	1	12	19.708
272	1	19	28.6
273	1	8	13
274	1	8	15.6
275	1	12	15.6
276	1	8	18.2
277	1	8	20.8
278	1	18.9	23.4
279	1	12	11.83
280	1	12	15.73
281	1	8	14.352
282	1	12	4.004
283	1	115.5	4.29
284	1	12	3.77
285	1	12	4.628
286	1	52.5	4.056
287	1	42	14.404
288	1	19	8.84
289	1	12	16.64
290	1	12.6	13.26
291	1	17	10.712
292	1	94.5	11.31
293	1	52.5	15.392
294	1	12	25.74
295	1	12	26
296	1	27	13.39
297	1	27.3	17.29
298	1	12	23.114
299	1	12	26
300	1	12	39
301	1	51.45	52
302	1	12	46.8
303	1	12	15.6
304	1	17.325	39
305	1	12	10.816
306	1	12	34.84
307	1	12	35.62
308	1	12	9.88
309	1	12	4.68
310	1	12	6.76
311	1	8	12.22
312	1	12	8.84
313	1	12	13.52
314	1	14.175	11.96
315	1	8	19.24
316	1	8	22.23
317	1	12	25.09
318	1	12	25.09
319	1	8	21.45
320	1	57.75	22.64
321	1	17.85	31.08
322	1	53.55	25.1
323	1	38.85	7.67
324	1	12	15.6
325	1	12	11.7
326	1	74	5.096
327	1	74	11.8
