 No., BrcContingencyIndex, fbusCont, tbusCont, #ofPVtoPQ
 325 517 233 232 22
 326 518 236 235 17
 327 519 247 246 16
 328 522 250 246 1
 329 523 250 246 1
 330 529 263 262 24
 331 532 272 271 17
 332 534 298 297 22
 333 540 333 332 20
 334 548 372 371 21
 335 549 387 386 22
 336 550 387 386 22
 337 560 408 407 22
 338 567 426 425 22
 339 568 429 428 20
 340 579 441 440 22
 341 583 454 453 22
 342 588 465 464 17
 343 589 472 471 22
